A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X
DHH,Duck Typing,MINASWAN,"""automagic""",Shaving the Yak,Peel the Onion,"Garbage in, garbage out",Easter Egg,Code Smell,ping,DRY,Talk to the Duck,scope creep,(FU|FOO)BAR,Copy-pasta,Heisenbug,Kludge,shebang,Ballmer Peak,all your {base} are belong to us,"""bounce the server""",Refuctoring,Monkey Patch,PEBKAC
TLA,MINASWAN,NOOP/NOP,YAGNI,Copy-pasta,Easter Egg,(FU|FOO)BAR,Monkey Patch,"""boom""","""Internet of Things""",WAT?!,Bikeshedding,KISS,threequals,TMTOWTDI,Peel the Onion,PEBKAC,DRY,"""bounce the server""",scope creep,ping,Duck Typing,Gold plating,"""plug and pray"""
Ballmer Peak,PEBKAC,Bikeshedding,Dogfooding,DHH,threequals,"""bounce the server""",MINASWAN,Heisenbug,(FU|FOO)BAR,"Garbage in, garbage out",YAGNI,"""boom""",RTFM,Code Smell,Copy-pasta,TMTOWTDI,KISS,Boss key,Here be Dragons,Gold plating,DRY,fat finger,ping
Here be Dragons,"""bounce the server""",Shaving the Yak,Easter Egg,scope creep,Talk to the Duck,"Garbage in, garbage out","""Internet of Things""",Duck Typing,Copy-pasta,Law of Demeter,Yoda Conditions,NOOP/NOP,threequals,fat finger,"""boom""",TMTOWTDI,Ballmer Peak,(FU|FOO)BAR,Heisenbug,Dogfooding,"""plug and pray""",DRY,RTFM
Monkey Patch,Shaving the Yak,PEBKAC,Boss key,DHH,"""Internet of Things""",NOOP/NOP,Ship It,Spaghetti Code,splat,"Garbage in, garbage out",Copy-pasta,WAT?!,(FU|FOO)BAR,threequals,fat finger,MINASWAN,TLA,Bikeshedding,Code Smell,"""automagic""",Grok,Refuctoring,Heisenbug
YAGNI,threequals,Refuctoring,Gold plating,Hand-wavey,KISS,Ballmer Peak,PEBKAC,Bikeshedding,"""automagic""",Heisenbug,TMTOWTDI,scope creep,Here be Dragons,DRY,TL;DR,Grok,NOOP/NOP,Shaving the Yak,fat finger,Copy-pasta,MINASWAN,(FU|FOO)BAR,Yoda Conditions
scope creep,ping,Monkey Patch,Heisenbug,TLA,Code Smell,NOOP/NOP,Dogfooding,DHH,Peel the Onion,Talk to the Duck,TMTOWTDI,"""bounce the server""","""plug and pray""","Garbage in, garbage out",WAT?!,Gold plating,"""boom""",Cargo Cult,Shaving the Yak,Duck Typing,Easter Egg,Here be Dragons,shebang
Peel the Onion,Ballmer Peak,Law of Demeter,"""Internet of Things""",Duck Typing,MINASWAN,Kludge,Cargo Cult,TMTOWTDI,KISS,fat finger,"""automagic""",Talk to the Duck,Refuctoring,"Garbage in, garbage out",all your {base} are belong to us,Grok,WAT?!,DHH,NOOP/NOP,Monkey Patch,Heisenbug,ping,(FU|FOO)BAR
KISS,Gold plating,Code Smell,NOOP/NOP,"""bounce the server""",fat finger,Bikeshedding,PEBKAC,Heisenbug,Spaghetti Code,"""automagic""","Garbage in, garbage out",shebang,Peel the Onion,DRY,all your {base} are belong to us,"""plug and pray""",splat,TMTOWTDI,Ship It,Cargo Cult,Grok,DHH,(FU|FOO)BAR
TL;DR,Here be Dragons,Heisenbug,Boss key,Refuctoring,Duck Typing,Cargo Cult,"""automagic""",Ship It,"""plug and pray""",Peel the Onion,Kludge,NOOP/NOP,TLA,fat finger,Ballmer Peak,all your {base} are belong to us,scope creep,YAGNI,PEBKAC,WAT?!,"""Internet of Things""",Law of Demeter,Spaghetti Code
